X,Y,Date,County
-97.485502,32.7301,8/21/14,TARRANT
-97.482294,32.66873,8/8/14,TARRANT
-97.482294,32.66873,8/8/14,TARRANT
-97.480894,32.651156,1/29/14,TARRANT
-97.478972,32.735033,5/9/14,TARRANT
-97.478972,32.735033,5/9/14,TARRANT
-97.478796,32.736199,7/25/14,TARRANT
-97.47722,32.732802,5/11/14,TARRANT
-97.477126,32.730304,3/21/14,TARRANT
-97.477126,32.730304,3/21/14,TARRANT
-97.475999,32.75003,3/28/14,TARRANT
-97.47567,32.816309,10/31/14,TARRANT
-97.47567,32.816309,1/2/14,TARRANT
-97.47567,32.816309,1/2/14,TARRANT
-97.47567,32.816309,1/2/14,TARRANT
-97.475588,32.733323,11/4/14,TARRANT
-97.475525,32.733171,8/8/14,TARRANT
-97.475394,32.721066,10/3/14,TARRANT
-97.475394,32.721066,10/3/14,TARRANT
-97.475394,32.721066,10/3/14,TARRANT
-97.474875,32.733556,1/31/14,TARRANT
-97.474875,32.733556,4/4/14,TARRANT
-97.474875,32.733556,4/4/14,TARRANT
-97.474875,32.733556,4/4/14,TARRANT
-97.474875,32.733556,4/4/14,TARRANT
-97.474875,32.733556,4/4/14,TARRANT
-97.474875,32.733556,5/2/14,TARRANT
-97.474875,32.733556,5/2/14,TARRANT
-97.474875,32.733556,5/2/14,TARRANT
-97.474664,32.752776,4/1/14,TARRANT
-97.474664,32.752776,4/1/14,TARRANT
-97.474664,32.752776,4/1/14,TARRANT
-97.474664,32.752776,5/2/14,TARRANT
-97.474664,32.752776,5/2/14,TARRANT
-97.474664,32.752776,5/2/14,TARRANT
-97.474664,32.752776,5/2/14,TARRANT
-97.474664,32.752776,1/30/14,TARRANT
-97.474476,32.72573,5/23/14,TARRANT
-97.473931,32.761033,3/3/14,TARRANT
-97.473931,32.761033,3/3/14,TARRANT
-97.473931,32.761033,3/3/14,TARRANT
-97.473802,32.727809,10/28/14,TARRANT
-97.473802,32.727809,4/4/14,TARRANT
-97.473802,32.733975,7/22/14,TARRANT
-97.473802,32.733975,7/22/14,TARRANT
-97.473389,32.734124,5/1/14,TARRANT
-97.473116,32.761964,3/14/14,TARRANT
-97.473116,32.761964,3/14/14,TARRANT
-97.47305,32.754654,3/11/14,TARRANT
-97.47305,32.754654,3/11/14,TARRANT
-97.473049,32.735082,1/28/14,TARRANT
-97.473012,32.735843,6/11/14,TARRANT
-97.473012,32.735843,6/11/14,TARRANT
-97.473005,32.734335,5/1/14,TARRANT
-97.472952,32.67012,7/9/14,TARRANT
